Code, Variable
UVJQ, Umsätze YoY
UVQ, Umsätze QoQ
KA, Kapazitätsauslastung
BS, Beschaffung
EML, Einkaufsmateriallager
ML, Margenlage
NM, Nachhaltigkeit der Margen
LS, Liquiditätssituation
PK, Personalknappheit
RS, Rekrutierungsschwierigkeiten
LELJ, Lohnerhöhung laufendes Jahr (%)
LEFJ, Lohnerhöhung folgendes Jahr (%)
UERW, Erwartete Umsätze
UEG, Unsicherheit über die Entwicklung des Geschäftsgangs
BERW, Erwartete Beschäftigung
EPE, Einkaufspreiserwartungen
VPE, Verkaufspreiserwartungen
AI, Geplante Ausrüstungsinvestitionen
BI, Geplante Bauinvestitionen
EPNV, Erwartete Preisniveauveränderung
IERWM, Erwartete Inflation in 6-12 Monaten
IERWJ, Erwartete Inflation in 3-5 Jahren
